# The energy threshold above which the kinetic energy of a charged particle should be to take part in the electrical field calculations is 0.1 MeV
# time (ns)	electric field (V/m)
# Antenna 0 at (0m, -90m, 10m) (Geant4 coordinates)
555 (-6.66229016684642e-11,-1.7448938954561e-12,-1.64319191898198e-11)
555.2 (-1.01517694294245e-10,9.87376081001658e-12,1.01284283918834e-10)
555.4 (1.05064776561816e-10,-1.28047289736472e-11,-1.48406145728147e-10)
555.6 (2.36002417181951e-11,1.6387434223396e-12,2.20604450808187e-11)
555.8 (-9.20439583413676e-11,9.78275057576205e-12,1.15249211009652e-10)
556 (-1.79643983770571e-11,-1.03588814802557e-11,-1.25922119042999e-10)
556.2 (2.10885862126522e-10,9.93912391472946e-13,2.54428304595017e-11)
556.4 (-1.6161116118875e-10,1.66692210270138e-11,1.80486140056755e-10)
556.6 (-7.50840404184382e-12,-1.02586561937463e-11,-1.24738360695709e-10)
556.8 (3.66502525443952e-11,2.1997384513077e-12,2.64036690208686e-11)
557 (-4.58860132454835e-11,-9.30945179456241e-12,-1.06437535252092e-10)
557.2 (6.70516628106007e-11,6.81737297285394e-13,1.31259650347584e-11)
557.4 (-3.75941566323424e-11,-7.28390648591157e-12,-8.74818397098104e-11)
557.6 (-1.05301812817535e-11,1.52700021127423e-11,1.70533639067457e-10)
557.8 (-8.36751958640973e-11,-1.62482006670533e-12,-1.96079475750926e-11)
558 (5.5348762459749e-11,1.19224319680112e-12,9.01206818972433e-12)
558.2 (-5.60467484121903e-11,3.7913360810374e-12,4.19551524842906e-11)
558.4 (-9.93277765621164e-11,-4.98001860108804e-12,-7.55636447615923e-11)
558.6 (2.41465074568768e-11,-3.2388545111243e-12,-4.1019565632416e-11)
558.8 (-2.32905081601199e-11,6.00319720677285e-12,6.86595415094927e-11)
559 (5.63825264156706e-11,-9.58714947501375e-12,-1.10588979815427e-10)
559.2 (4.24625401082292e-11,9.05443523701025e-12,1.07260587326492e-10)
559.4 (1.7401151000946e-10,3.27852233097225e-12,5.29197914165545e-11)
559.6 (-1.25270972737327e-10,-2.45261322978306e-11,-2.8765952169952e-10)
559.8 (-2.14892231177068e-11,1.82573900337305e-11,1.96689930742397e-10)
560 (8.33365826606922e-12,9.20984720200143e-12,1.093971987288e-10)
560.2 (-5.77475444553984e-11,-1.17950719315645e-11,-1.4404965788105e-10)
560.4 (1.09527006973037e-10,-1.68891693576038e-12,-1.30123977122528e-11)
560.6 (-9.70530495905167e-11,1.32427013458981e-12,-8.74741654535491e-13)
560.8 (-1.4157619165832e-11,-1.16136207465973e-11,-1.35324733787351e-10)
561 (8.64725722603672e-12,8.86274293526676e-12,1.09436009472367e-10)
561.2 (9.49530193892533e-11,-1.4024025663937e-12,-1.90179043378357e-11)
561.4 (-1.39456780232563e-10,3.1052555889357e-12,2.72516241722538e-11)
561.6 (1.38670496063073e-10,-1.03139598461597e-11,-1.11614437014794e-10)
561.8 (-8.77209597555251e-11,1.32443915875927e-11,1.47688573949514e-10)
562 (3.21460129073756e-11,-5.21127256203775e-12,-6.02044736393471e-11)
562.2 (7.3046422050733e-11,8.90453278962671e-12,1.11071991393415e-10)
562.4 (-8.53619957394737e-11,9.28025510826897e-12,9.53476031115204e-11)
562.6 (8.25997087421435e-11,-4.00288908085618e-12,-4.32875722381614e-11)
562.8 (-7.34650978492553e-11,-4.60436409616627e-12,-6.00141079654663e-11)
563 (-4.62017736428839e-11,-7.99502532782258e-12,-9.39676922637036e-11)
563.2 (1.89726134640904e-10,1.84844566729401e-11,2.18660803068817e-10)
563.4 (-3.97804044588712e-11,-5.83429572074677e-13,-7.84415938979413e-12)
563.6 (-6.59723926908882e-11,-1.26730534068548e-12,-1.71660293182628e-11)
563.8 (-6.98944256051589e-11,3.41364917237401e-12,3.0627006227516e-11)
564 (1.53095669713323e-10,-9.28422365279137e-12,-1.06953389206774e-10)
564.2 (4.02862724398279e-11,6.13694760500972e-13,9.9043019286047e-12)
564.4 (-6.81886418812177e-11,-5.90643106187304e-12,-7.63699413979721e-11)
564.6 (-6.21887862588472e-11,3.082425925902e-12,2.44747186976204e-11)
564.8 (5.44796135878926e-12,-4.20961441470743e-12,-3.67573306605487e-11)
565 (9.91135814408289e-12,2.71993183140477e-12,2.52647027955367e-11)
565.2 (4.3830773756107e-11,4.50827402086956e-12,5.06925589680708e-11)
565.4 (-1.22676463082327e-10,1.05904781760255e-11,1.27178637621816e-10)
